DWPBarcode,DWPWell,PetriDishID,ColonyID
190123ONCB05_2,A1,SBC009995_D47,SBC009995_D47_0001
190123ONCB05_2,B1,SBC009995_D47,SBC009995_D47_0002
190123ONCB05_2,C1,SBC009995_D47,SBC009995_D47_0003
190123ONCB05_2,D1,SBC009995_D47,SBC009995_D47_0004
190123ONCB05_2,E1,SBC010000_D47,SBC010000_D47_0005
190123ONCB05_2,F1,SBC010000_D47,SBC010000_D47_0006
190123ONCB05_2,G1,SBC010000_D47,SBC010000_D47_0007
190123ONCB05_2,H1,SBC010000_D47,SBC010000_D47_0008
190123ONCB05_2,A2,SBC010003_D47,SBC010003_D47_0009
190123ONCB05_2,B2,SBC010003_D47,SBC010003_D47_0010
190123ONCB05_2,C2,SBC010003_D47,SBC010003_D47_0011
190123ONCB05_2,D2,SBC010003_D47,SBC010003_D47_0012
190123ONCB05_2,E2,SBC010005_D47,SBC010005_D47_0013
190123ONCB05_2,F2,SBC010005_D47,SBC010005_D47_0014
190123ONCB05_2,G2,SBC010005_D47,SBC010005_D47_0015
190123ONCB05_2,H2,SBC010005_D47,SBC010005_D47_0016
190123ONCB05_2,A3,SBC010008_D47,SBC010008_D47_0017
190123ONCB05_2,B3,SBC010008_D47,SBC010008_D47_0018
190123ONCB05_2,C3,SBC010008_D47,SBC010008_D47_0019
190123ONCB05_2,D3,SBC010008_D47,SBC010008_D47_0020
190123ONCB05_2,E3,SBC010009_D47,SBC010009_D47_0021
190123ONCB05_2,F3,SBC010009_D47,SBC010009_D47_0022
190123ONCB05_2,G3,SBC010009_D47,SBC010009_D47_0023
190123ONCB05_2,H3,SBC010009_D47,SBC010009_D47_0024
190123ONCB05_2,A4,SBC010011_D47,SBC010011_D47_0025
190123ONCB05_2,B4,SBC010011_D47,SBC010011_D47_0026
190123ONCB05_2,C4,SBC010011_D47,SBC010011_D47_0027
190123ONCB05_2,D4,SBC010011_D47,SBC010011_D47_0028
190123ONCB05_2,E4,SBC010012_D47,SBC010012_D47_0029
190123ONCB05_2,F4,SBC010012_D47,SBC010012_D47_0030
190123ONCB05_2,G4,SBC010012_D47,SBC010012_D47_0031
190123ONCB05_2,H4,SBC010012_D47,SBC010012_D47_0032
190123ONCB05_2,A5,SBC010013_D47,SBC010013_D47_0033
190123ONCB05_2,B5,SBC010013_D47,SBC010013_D47_0034
190123ONCB05_2,C5,SBC010013_D47,SBC010013_D47_0035
190123ONCB05_2,D5,SBC010013_D47,SBC010013_D47_0036
190123ONCB05_2,E5,SBC010016_D47,SBC010016_D47_0037
190123ONCB05_2,F5,SBC010016_D47,SBC010016_D47_0038
190123ONCB05_2,G5,SBC010016_D47,SBC010016_D47_0039
190123ONCB05_2,H5,SBC010016_D47,SBC010016_D47_0040
190123ONCB05_2,A6,SBC010019_D47,SBC010019_D47_0041
190123ONCB05_2,B6,SBC010019_D47,SBC010019_D47_0042
190123ONCB05_2,C6,SBC010019_D47,SBC010019_D47_0043
190123ONCB05_2,D6,SBC010019_D47,SBC010019_D47_0044
190123ONCB05_2,E6,SBC010020_D47,SBC010020_D47_0045
190123ONCB05_2,F6,SBC010020_D47,SBC010020_D47_0046
190123ONCB05_2,G6,SBC010020_D47,SBC010020_D47_0047
190123ONCB05_2,H6,SBC010020_D47,SBC010020_D47_0048
190123ONCB05_2,A7,SBC010022_D47,SBC010022_D47_0049
190123ONCB05_2,B7,SBC010022_D47,SBC010022_D47_0050
190123ONCB05_2,C7,SBC010022_D47,SBC010022_D47_0051
190123ONCB05_2,D7,SBC010022_D47,SBC010022_D47_0052
190123ONCB05_2,E7,SBC010023_D47,SBC010023_D47_0053
190123ONCB05_2,F7,SBC010023_D47,SBC010023_D47_0054
190123ONCB05_2,G7,SBC010023_D47,SBC010023_D47_0055
190123ONCB05_2,H7,SBC010023_D47,SBC010023_D47_0056
190123ONCB05_2,A8,SBC010025_D47,SBC010025_D47_0057
190123ONCB05_2,B8,SBC010025_D47,SBC010025_D47_0058
190123ONCB05_2,C8,SBC010025_D47,SBC010025_D47_0059
190123ONCB05_2,D8,SBC010025_D47,SBC010025_D47_0060
190123ONCB05_2,E8,SBC010026_D47,SBC010026_D47_0061
190123ONCB05_2,F8,SBC010026_D47,SBC010026_D47_0062
190123ONCB05_2,G8,SBC010026_D47,SBC010026_D47_0063
190123ONCB05_2,H8,SBC010026_D47,SBC010026_D47_0064
190123ONCB05_2,A9,SBC010028_D47,SBC010028_D47_0065
190123ONCB05_2,B9,SBC010028_D47,SBC010028_D47_0066
190123ONCB05_2,C9,SBC010028_D47,SBC010028_D47_0067
190123ONCB05_2,D9,SBC010028_D47,SBC010028_D47_0068
190123ONCB05_2,E9,SBC010029_D47,SBC010029_D47_0069
190123ONCB05_2,F9,SBC010029_D47,SBC010029_D47_0070
190123ONCB05_2,G9,SBC010029_D47,SBC010029_D47_0071
190123ONCB05_2,H9,SBC010029_D47,SBC010029_D47_0072
190123ONCB05_2,A10,SBC010030_D47,SBC010030_D47_0073
190123ONCB05_2,B10,SBC010030_D47,SBC010030_D47_0074
190123ONCB05_2,C10,SBC010030_D47,SBC010030_D47_0075
190123ONCB05_2,D10,SBC010030_D47,SBC010030_D47_0076
190123ONCB05_2,E10,SBC010031_D47,SBC010031_D47_0077
190123ONCB05_2,F10,SBC010031_D47,SBC010031_D47_0078
190123ONCB05_2,G10,SBC010031_D47,SBC010031_D47_0079
190123ONCB05_2,H10,SBC010031_D47,SBC010031_D47_0080
190123ONCB05_2,A11,SBC010032_D47,SBC010032_D47_0081
190123ONCB05_2,B11,SBC010032_D47,SBC010032_D47_0082
190123ONCB05_2,C11,SBC010033_D47,SBC010033_D47_0083
190123ONCB05_2,D11,SBC010033_D47,SBC010033_D47_0084
190123ONCB05_2,E11,SBC010033_D47,SBC010033_D47_0085
190123ONCB05_2,F11,SBC010033_D47,SBC010033_D47_0086
190123ONCB05_2,G11,SBC010034_D47,SBC010034_D47_0087
190123ONCB05_2,H11,SBC010034_D47,SBC010034_D47_0088
190123ONCB05_2,A12,SBC010034_D47,SBC010034_D47_0089
190123ONCB05_2,B12,SBC010034_D47,SBC010034_D47_0090
190123ONCB05_2,C12,SBC010035_D47,SBC010035_D47_0091
190123ONCB05_2,D12,SBC010035_D47,SBC010035_D47_0092
190123ONCB05_2,E12,SBC010035_D47,SBC010035_D47_0093
190123ONCB05_2,F12,SBC010035_D47,SBC010035_D47_0094
