well,id
A1,SBC007160
B1,SBC007162
C1,SBC007164
D1,SBC007166
E1,SBC007168
F1,SBC007170
G1,SBC007172
H1,SBC007174
A2,SBC007176
B2,SBC007178
C2,SBC007180
D2,SBC007182
E2,SBC007184
F2,SBC007186
G2,SBC007188
H2,SBC007190
A3,SBC007192
B3,SBC007194
C3,SBC007302
D3,SBC007304
E3,SBC007306
F3,SBC007308
G3,SBC007336
H3,SBC007312
A4,SBC007314
B4,SBC007152
C4,SBC007154
D4,SBC007156
E4,SBC007158
F4,SBC007196
G4,SBC007198
H4,SBC007200
A5,SBC007202
B5,SBC007204
C5,SBC007218
D5,SBC007220
E5,SBC007222
F5,SBC007224
G5,SBC007286
H5,SBC007288
A6,SBC007290
B6,SBC007292
C6,SBC007294
D6,SBC007274
E6,SBC007276
F6,SBC007278
G6,SBC007280
H6,SBC007282
A7,SBC007284
B7,SBC007238
C7,SBC007240
D7,SBC007242
E7,SBC007244
F7,SBC007246
G7,SBC007248
H7,SBC007250
A8,SBC007252
B8,SBC007254
C8,SBC007266
D8,SBC007268
E8,SBC007270
F8,SBC007272
G8,SBC007296
H8,SBC007298
A9,SBC007300
B9,SBC007332
C9,SBC007334
D9,SBC007338
E9,SBC007340
F9,SBC007342
G9,SBC007344
H9,SBC007346
A10,SBC007348
B10,SBC007350
C10,SBC007352
D10,SBC007354
E10,SBC007356
F10,SBC007358
G10,SBC007360
H10,SBC007362
A11,SBC007364
B11,SBC007216
